datetime,return,tcost,volatility_20,skewness_20,kurtosis_20
2016-08-15,0.00407454061651169,4.247907905352748e-05,0.004181637648191399,-0.03196042236511054,0.13944327816181135
2016-08-16,-0.005300147218382456,4.271496305157881e-05,0.004320121050964673,-0.11110334144582495,0.04034182581308521
2016-08-17,0.0017154289604457418,0.0,0.003789323846361657,-0.471278548072173,0.18810131755606108
2016-08-18,0.00024482123642943776,4.262392907380383e-05,0.003704143139528941,-0.552665574500067,0.5047028948007499
2016-08-19,-0.00024482123642943776,4.264210481431545e-05,0.0036895105153935226,-0.40691789091845704,0.4453118104792124
2016-08-22,0.0007342839703108339,0.0,0.0036797840951767976,-0.43427976531803314,0.49577152611026243
2016-08-23,0.0017112353840831318,4.253328229341634e-05,0.0036785950855221998,-0.4598406067406801,0.515327421032675
2016-08-24,-0.006206969931235484,-4.281738385786819e-05,0.0038547147177032076,-0.417738852626198,0.1467626909000601
2016-08-25,-0.001557780982617274,0.0,0.003848894737019922,-0.2544549668990836,0.077769880174682
2016-08-26,0.00139391826610602,4.282471842749825e-05,0.0038393061767773955,-0.2317924717917954,0.09907816615680964
2016-08-29,0.0013101505197870011,4.2762454564913896e-05,0.003708791009058204,-0.18956195203482845,0.40544298069258744
2016-08-30,-0.0031144147962232083,4.289452236945441e-05,0.0033686957082090523,0.10907437510884409,0.6188077640945044
2016-08-31,-0.0009855179764004518,0.0,0.003336105647582317,0.27182515033704624,0.7939885368829946
2016-09-01,0.002461976244839903,4.282838665469663e-05,0.0033273768081240693,0.2810989560611513,0.8340658285035607
2016-09-02,0.003109827022959699,4.269672516120199e-05,0.0027487509384745627,-0.7087030493403824,-0.11533785778215844
2016-09-06,0.0059471423745973695,4.2428613857146695e-05,0.0030077835699214655,-0.5290114107302217,-0.129038248647805
2016-09-07,0.0005684199516107213,4.2399830400700085e-05,0.002981940176858171,-0.46981172128328713,-0.09013367543918882
2016-09-08,-0.005617151236362972,4.264937945149019e-05,0.0032048724423567754,-0.5268737137856632,-0.34514912447692625
2016-09-09,-0.024377667642869305,0.0,0.006150679916651934,-2.589588520938248,7.317531943032083
2016-09-12,0.017003207799565878,4.2994109806917345e-05,0.0073154685218027315,-1.1094945646325345,4.482429999954613
